questions,answer
how do i get my bursary award,"If you are awarded the Higher Education Community Bursary, the respective community centre/club will inform you on the collection of bursaries and if you are awarded the Higher Education Bursary or other bursaries, the sum will be disbursed through NYP. Please note that the sum will be used to offset any outstanding fees before disbursement unless stated otherwise. It will be deposited into the GIRO account that is maintained with NYP. If you do not have a GIRO account with NYP, it will be transferred to you via PayNow (linked to your NRIC)"
are there vending machines on campus,"Yes, there are various vending machines that provide hot food, snacks, as well as hot and cold drinks located around the campus"
where are the vending machines on campus,"Yes, there are various vending machines that provide hot food, snacks, as well as hot and cold drinks located around the campus"
are there drinks and food in the vending machines,"Yes, there are various vending machines that provide hot food, snacks, as well as hot and cold drinks located around the campus"
vending machine,"Yes, there are various vending machines that provide hot food, snacks, as well as hot and cold drinks located around the campus"
can i deliver food to school,"Yes, outside food is allowed on campus and you may choose to have the food delivered to a location on campus that is convenient to you."
where to collect my food delivery,"Yes, outside food is allowed on campus and you may choose to have the food delivered to a location on campus that is convenient to you."
is outside food allowed on campus,"Yes, outside food is allowed on campus and you may choose to have the food delivered to a location on campus that is convenient to you."
how do i check my job application,You may log in to your application account to check on the status after the closing date of advertisement. You will be contacted only if you are shortlisted
where to check my job application,You may log in to your application account to check on the status after the closing date of advertisement. You will be contacted only if you are shortlisted
i cant receive my otp,"If you can't receive the one-time password (OTP) due to change of your mobile phone number or other reasons, please email  ‘mailto:NYP_Careers@nyp.edu.sg'NYP_Careers@nyp.edu.sg with the following information: 1.Your new and old mobile phone number using this format (Country Code + Area Code + mobile phone number) 2.Your NRIC / passport number 3.Email address used for the application account "
why cant i receive my otp,"If you can't receive the one-time password (OTP) due to change of your mobile phone number or other reasons, please email  ‘mailto:NYP_Careers@nyp.edu.sg'NYP_Careers@nyp.edu.sg with the following information: 1.Your new and old mobile phone number using this format (Country Code + Area Code + mobile phone number) 2.Your NRIC / passport number 3.Email address used for the application account "
i did not get a otp,"If you can't receive the one-time password (OTP) due to change of your mobile phone number or other reasons, please email  ‘mailto:NYP_Careers@nyp.edu.sg'NYP_Careers@nyp.edu.sg with the following information: 1.Your new and old mobile phone number using this format (Country Code + Area Code + mobile phone number) 2.Your NRIC / passport number 3.Email address used for the application account "
i just changed my mobile number,"If you can't receive the one-time password (OTP) due to change of your mobile phone number or other reasons, please email  ‘mailto:NYP_Careers@nyp.edu.sg'NYP_Careers@nyp.edu.sg with the following information: 1.Your new and old mobile phone number using this format (Country Code + Area Code + mobile phone number) 2.Your NRIC / passport number 3.Email address used for the application account "
how to receive otp if i changed my mobile number,"If you can't receive the one-time password (OTP) due to change of your mobile phone number or other reasons, please email  ‘mailto:NYP_Careers@nyp.edu.sg'NYP_Careers@nyp.edu.sg with the following information: 1.Your new and old mobile phone number using this format (Country Code + Area Code + mobile phone number) 2.Your NRIC / passport number 3.Email address used for the application account "
dbs atm,"There is 1 ATM machine in NYP campus and is located at Block A, FoodCentral, Level 1 or you can visit  https://www.nyp.edu.sg/student-life/visit-nyp/nyp-campus.html    to find out more"
UOB ATM,"There is 1 ATM machine in NYP campus and is located at Block A, FoodCentral, Level 1 or you can visit  https://www.nyp.edu.sg/student-life/visit-nyp/nyp-campus.html    to find out more"
posb atm,"There is 1 ATM machine in NYP campus and is located at Block A, FoodCentral, Level 1 or you can visit  https://www.nyp.edu.sg/student-life/visit-nyp/nyp-campus.html    to find out more"
ocbc atm,"There is 1 ATM machine in NYP campus and is located at Block A, FoodCentral, Level 1 or you can visit  https://www.nyp.edu.sg/student-life/visit-nyp/nyp-campus.html    to find out more"
draw money,"There is 1 ATM machine in NYP campus and is located at Block A, FoodCentral, Level 1 or you can visit  https://www.nyp.edu.sg/student-life/visit-nyp/nyp-campus.html    to find out more"
ATM machine,"There is 1 ATM machine in NYP campus and is located at Block A, FoodCentral, Level 1 or you can visit  https://www.nyp.edu.sg/student-life/visit-nyp/nyp-campus.html    to find out more"
atm,"There is 1 ATM machine in NYP campus and is located at Block A, FoodCentral, Level 1 or you can visit  https://www.nyp.edu.sg/student-life/visit-nyp/nyp-campus.html    to find out more"
ATM,"There is 1 ATM machine in NYP campus and is located at Block A, FoodCentral, Level 1 or you can visit  https://www.nyp.edu.sg/student-life/visit-nyp/nyp-campus.html    to find out more"
where can i draw money,"There is 1 ATM machine in NYP campus and is located at Block A, FoodCentral, Level 1 or you can visit  https://www.nyp.edu.sg/student-life/visit-nyp/nyp-campus.html    to find out more"
where is the atm on campus,"There is 1 ATM machine in NYP campus and is located at Block A, FoodCentral, Level 1 or you can visit  https://www.nyp.edu.sg/student-life/visit-nyp/nyp-campus.html    to find out more"
where can i find the atm,"There is 1 ATM machine in NYP campus and is located at Block A, FoodCentral, Level 1 or you can visit  https://www.nyp.edu.sg/student-life/visit-nyp/nyp-campus.html    to find out more"
where to draw money from on campus,"There is 1 ATM machine in NYP campus and is located at Block A, FoodCentral, Level 1 or you can visit  https://www.nyp.edu.sg/student-life/visit-nyp/nyp-campus.html    to find out more"
where is the atm located in campus,"There is 1 ATM machine in NYP campus and is located at Block A, FoodCentral, Level 1 or you can visit  https://www.nyp.edu.sg/student-life/visit-nyp/nyp-campus.html    to find out more"
what is the jae for admission into courses of nanyang polytechnic,The JAE ELR2B2 (Last Aggregate Score) of our courses varies from year to year depending on the number of places available for each course and the academic results of the applicants or you can refer to  https://www.nyp.edu.sg/admissions/full-time-diploma/admission-exercise.html    for more information
